weather,event,top_color,top_substyle,top_warmth,top_formality,bottom_color,bottom_substyle,bottom_warmth,bottom_formality,shoes_color,shoes_substyle,shoes_warmth,shoes_formality,outer_color,outer_substyle,outer_warmth,outer_formality,score
mild,sports,red,sport,light,0,beige,smart,medium,1,white,sport,light,0,none,none,none,0,7.9
mild,casual,grey,casual,medium,0,beige,smart,medium,1,white,sport,light,0,black,smart,warm,2,6.4
hot,sports,black,smart,warm,1,black,smart,medium,2,white,casual,light,0,black,casual,medium,0,3.5
cold,casual,white,casual,light,0,beige,smart,medium,1,white,casual,light,0,olive,casual,medium,1,5.5
hot,casual,blue,street,medium,0,beige,smart,medium,1,black,smart,medium,2,none,none,none,0,3.8
cold,sports,blue,street,medium,0,black,sport,light,0,black,casual,light,0,none,none,none,0,5.4
hot,casual,navy,smart,light,1,beige,smart,medium,1,black,casual,light,0,blue,sport,warm,0,5.7
cold,formal,grey,casual,medium,0,black,smart,medium,2,black,casual,light,0,black,smart,warm,2,6.7
hot,casual,white,smart,light,2,grey,smart,medium,2,white,casual,light,0,black,casual,medium,0,6.1
cold,casual,navy,smart,medium,2,black,casual,light,0,black,casual,light,0,olive,casual,medium,1,5.3
mild,casual,white,casual,light,0,black,casual,light,0,black,casual,light,0,none,none,none,0,7.5
hot,formal,navy,casual,warm,1,black,casual,light,0,black,sport,light,0,blue,sport,warm,0,4.2
hot,sports,navy,casual,warm,1,black,sport,light,0,brown,smart,medium,2,black,casual,medium,0,4.3
cold,formal,blue,street,medium,0,olive,casual,medium,0,black,smart,medium,2,none,none,none,0,5.4
mild,casual,navy,smart,medium,2,beige,smart,medium,1,white,sport,light,0,black,casual,warm,0,6.4
cold,casual,white,casual,light,0,blue,casual,medium,0,brown,casual,warm,1,none,none,none,0,6
mild,sports,navy,smart,medium,2,grey,smart,medium,2,white,casual,light,0,none,none,none,0,6.1
cold,formal,blue,street,medium,0,beige,smart,medium,1,black,casual,light,0,black,casual,warm,0,4.3
mild,casual,grey,casual,medium,0,blue,casual,medium,0,white,sport,light,0,blue,street,medium,0,7.4
cold,formal,black,smart,warm,1,grey,smart,medium,2,black,casual,light,0,none,none,none,0,6.5
hot,formal,black,smart,warm,1,black,casual,light,0,brown,smart,medium,2,black,casual,medium,0,4.5
mild,formal,blue,street,medium,0,olive,casual,medium,0,black,casual,light,0,blue,sport,warm,0,4.6
hot,casual,white,casual,light,0,black,sport,light,0,white,sport,light,0,black,casual,warm,0,7
mild,sports,black,smart,warm,1,black,sport,light,0,black,smart,medium,2,black,casual,medium,0,6.8
hot,sports,navy,smart,medium,2,olive,casual,medium,0,white,casual,light,0,none,none,none,0,3.5
cold,sports,navy,casual,warm,1,blue,casual,medium,0,black,casual,light,0,none,none,none,0,4.6
cold,sports,navy,smart,medium,2,black,sport,light,0,white,sport,light,0,none,none,none,0,5.3
hot,casual,grey,casual,medium,0,black,smart,medium,2,black,smart,medium,2,olive,casual,medium,1,3.9
mild,casual,navy,smart,medium,2,black,sport,light,0,white,casual,light,0,none,none,none,0,7.2
mild,casual,navy,smart,light,1,grey,smart,medium,2,white,casual,light,0,none,none,none,0,7.2
